UUID,SIGNAL_CLASSIFICATION
24fb1d885227ca55ed44530b3916606a,narrowband
9e334eff70fce719b4db78d5d6a3d568,narrowband
90fad2c41b46f577ef797a67bbd7ed58,narrowband
77200588140650b4431a96de7832af16,narrowband
b7aa4eba8f3491680c85840599e46d4b,narrowband
7a0e3a535256c5affae853adb9bec80c,narrowband
aa23fbde79b708e12a8a64ef9d04051e,narrowband
77a76f9aa03007d92f41be3a883f92ae,narrowband
73eaaf57477bbed178f1a559a27e135d,narrowband
4dc8f0fbc796363be3b6d8267b58c01e,narrowband
1767ee83f4f0a0b1ef37e2cdbd28fa77,narrowband
c247a93f7283d71e48d2ff8c3e7a30c9,narrowband
d1cb50d57719efcb1bc136dea15f7abd,narrowband
ee1c131621ef4b04749986be185455b4,narrowband
9967ac5b06a498f5073d8010fade9adf,narrowband
5d33aa4cd09904c8a5e8656e121f7a50,narrowband
ccf6728f9db84d46136d28c5d7822ca0,narrowband
3cc78e9157acc2fa0a67c34f45322db5,narrowband
dc3d39cae2b14c98c0436ac28d4d1c5d,narrowband
dffc218f164f38755bdaba81b7570e5c,narrowband
493ae99547f4a368b26e36ab43401458,narrowband
7e088d1f26286e3d4f77f8446451a529,narrowband
ec7b6e943070fd2e14b806a69d7e800d,narrowband
234d49763c891c5f94693047552c2ac8,narrowband
af1301f8cde140b6057d59e7a1eed0a3,narrowband
02c9a82a815be9ab2cfc19fa00c51f10,narrowband
87df3f95046bf44688d85dd8f2fb8b4c,narrowband
1c2a09a49fa9c04b5d7edfe6d1def20e,narrowband
6cc171b93dd2c68dc1e96f9e55de75e3,narrowband
e7f8ae4a895e3c9fa1f567f6d767c0a8,narrowband
7fc1d716ce1ce23f24172408799a7666,narrowband
9bfb1ef3b3dc5b8fea1153b64e0e44a1,narrowband
915b42c3c302069bdd2e10a8dcd0eaa7,narrowband
d35b5febdbd7ecc38409f1b60b84b57f,narrowband
d957d7bee1b62c6d8687a770a275f076,narrowband
a2d762c805e923fc844e6672187a718f,narrowband
eacb611c0e998679c938a85737556413,narrowband
e47e40770c31636a5a4e32f66ada629f,narrowband
6f0c6c39d7a73adf06de4a02c2ce3b50,narrowband
7fd2cb978985b8ca4d2072ddc687fe44,narrowband
4f4a13394389c9e0c104053ea1eeccbd,narrowband
66c7698a0beef2311c4402add7c7b673,narrowband
173067f7a4cef8d8feeca8788bbc830c,narrowband
d7a37ff0da2886b26d5725a017975793,narrowband
6d50a593dd25ee5996135ef249b6ee3b,narrowband
3133e9b72eb0a233b863dffd8e94b866,narrowband
4db8d4f1a19fd2388d2347b8b360910a,narrowband
25da18a80ae16cfffd8df5095773ffc5,narrowband
7ecab07a41ffd0b6b8e25c72a3609afa,narrowband
f7e995b03ef71e23dc824e477528c6a5,narrowband
409165e58383e8952013c5ea79d33152,narrowband
b558314908bcde99d4610051c5c42bd8,narrowband
8aa0ca7f97484077e5e03eadda6eca9e,narrowband
d545f31210b76f7c7d3246ee72974b83,narrowband
5d721670cf8ab1c539bbc84df56ce6dc,narrowband
f2577923ce57a4fe27ecc68bbdfdcead,narrowband
7ca57e7d86087ce4e0d680d2171b6c7b,narrowband
2ee277d85193ab49a99f94eda3e53e11,narrowband
b22079c7ab170d50bfd7debfc7b04418,narrowband
f499f9814e9d48fbb344b1c54ba65178,narrowband
9223924ef20ec99500c2e31f5c36a013,narrowband
fa33e81d5d5234f2567e65a5e64eff43,narrowband
aeda025d774175b51d726f7b424b9c7f,narrowband
7f252b7ef87b547d20082a1469ce57a2,narrowband
957696eb5b39fa04b204eaa57a5bb1bd,narrowband
6af6182407277cdac20cfc3248311dbd,narrowband
c83667e345b698b3ebd4f4057948db4b,narrowband
8bb37930159f1bca8bee8f5535d9048c,narrowband
c22d8fccfa5fcc2de6bcbd6ad25b7b2b,narrowband
fa64599b906ce2f24454a307ddbe403b,narrowband
005a3820f3baedce982a2969d6098c5a,narrowband
8ab74e4f70ae95ae5691764bf3ac517d,narrowband
1f4ea1b6474005882cfe57d568d6b8f7,narrowband
98d7c6ae975447f230945bc5cc3b7920,narrowband
e8749818dedd0ba93e03679dea46e298,narrowband
83b49e14d1ff8212765245fe78fb4a91,narrowband
6b041d99e05838c3138cebc7eeb7d1e4,narrowband
6cde5a212efcf7d8db503dae7ce0dd73,narrowband
54579c9959d2cc5156bc2993695f0b78,narrowband
d8627475ebd5d5c8d7806681803439da,narrowband
9836490611146902f7b30eb52463b3f3,narrowband
7639da3ff62c85c0c70f883218d21beb,narrowband
2afce819777dabafb65c1825eb317bca,narrowband
41d9bfea86ef95b976c6640d7fc67706,narrowband
b2db2bd6f2464e34a11c022ab283bfaf,narrowband
b98c8c726c209a8f6f2c0f7388d44f78,narrowband
1d39552a1f9d2ec839fac1601c19d9a1,narrowband
9ca665c56a6473fe6b76d11fe6ab8847,narrowband
4af61f1cb0cf0b34cc93277e8f15fedb,narrowband
09988e05c2f06af233a532aebf3e8e0f,narrowband
b5b24fd20e4f5f9a72a6fa920aad7c5b,narrowband
b9444865210251b6107329b2fb173688,narrowband
cec4b32a185076c95e5810da8be9f094,narrowband
9a1f3497a68891197e119abbef5ad4a1,narrowband
c2a541f349f1da3916e5ccdd3787d2cb,narrowband
e78490d57008713a0069f6e9a1308b19,narrowband
e1f5a1649bd2740b32fd0e35b5d8fbba,narrowband
b26b32acfcdcb8af6217e3298dc94231,narrowband
438613d94c7f302f72f077d1305bc4be,narrowband
045f58c63ec6171dce237967d6da3147,narrowband
dd5f5c4a0da8a381a2a7582d1b6a9cbb,narrowband
88ecac520a9f7faab46e60cc6942493e,narrowband
5cb8d7c7a5d9ae4bc5b094b7dc1d4d8a,narrowband
c72b589b337321818941aa4b22d05140,narrowband
f52623662261966cef3ee032b3580f0b,narrowband
fc969bfba5b0b51b24c14b54cf86d4eb,narrowband
2fe8deaf5a7e9b1045f57343b6407a02,narrowband
a0eeada878bfe9b3d0ec28215f8d6fc8,narrowband
918762cf2c9ce0bbc5d9eedaf938be98,narrowband
ef0966713fd5ebc2b1162294ad61136f,narrowband
20fef2cb255a4331d2c89deafd629eab,narrowband
0214861e48186870a502ba767ecefc73,narrowband
898e24174ead917003eecde95b08c20f,narrowband
0420a0a9640c62f956279c01cc32127d,narrowband
0a3bc09d35e0ebd99ddbdde6b868f492,narrowband
f058f80d6aa5a4e13f9b71a19412ebe8,narrowband
cab2f7fe16a4db4b2e3a959de998f041,narrowband
8f8f9227f5aed5c472e49a8c66512bc9,narrowband
0e5b415a767119839982510453391567,narrowband
82c6000bbf04075b49ca68a2703dba8f,narrowband
ff31cc6249407f999f5a20ce4754facb,narrowband
10fbd7a9baa0907b985038c952923c86,narrowband
0decc8cab10083956f8f7003fdfe6f95,narrowband
264cc1b755a31e681a5f414bf45b70c9,narrowband
4ff344738ecd45aab10f2d40382ac9b8,narrowband
544544e299640ae3002e7ab98ae66070,narrowband
f5684266156d67978010558801c1f794,narrowband
c7abf8c6878b6f20b81a5568893b1927,narrowband
33dee2997f8a1c368f5dcb8dc70223e8,narrowband
62518a13fd2ce685caa7df4db75bb2ce,narrowband
c6a0a1b727dc98454eb03642822154bb,narrowband
9e2151a4cfae8a766d687b965f03be75,narrowband
7671408712827b3d571545d772f4295a,narrowband
aad58b5d34dae74412c0cc5b032b0a6a,narrowband
8c75b6776417b21cc00b82dba2217c66,narrowband
d87a416ef81268fc6f269838f2bd299b,narrowband
3ddbf52b16e552becc01c2879745918c,narrowband
6b24f13eae1c99ce108971a0d614a859,narrowband
d126ed7c9b01738b4c145424cad126bd,narrowband
cc2bea6630c56321f77670a9d4325492,narrowband
0368f8dbd518d717b845963d50007fd9,narrowband
08e6de32e8e092f49a43f62ca63cc238,narrowband
57213c3194e0b4775a24604ef30e6537,narrowband
ab7211045532a654852c98a7835b224e,narrowband
ef9d788c41e0240529261b60c322369d,narrowband
f8c0f80b927c632c4e87aa1d427a2a25,narrowband
eb1acdac0d5a4131b1bac62d24e78bc2,narrowband
bc5558cdfb4354869638f28021f32861,narrowband
a47c929f78c5768647cd57d2460ee41f,narrowband
94e73ef21b4d1c3db072f1e77ad72617,narrowband
a286dc7816248e388568851993a1773d,narrowband
1b48d81133370c7b4d1ec2658bdf980e,narrowband
10add07d91c8db5345a4335bebbdffde,narrowband
5293281178dc1b1d3b49250a1ed92907,narrowband
4a5c9b46f81b19caad76e7c301de2c03,narrowband
c80b408b085cd4a2f2acdeed30075c93,narrowband
7fa8749ba8fbb0f3731c49e72b5a6132,narrowband
5630478653a383efa6e73e8431b2a687,narrowband
e24c4ab8e63a1e34caea05977159e412,narrowband
c30443b94d2314bcc86d9ca04ab443de,narrowband
30326eedaff29bb53d375474fa74a81b,narrowband
70440ae22a55911dfd003520c06e1804,narrowband
949cc7848cea4863251140336af0d076,narrowband
