UUID,SIGNAL_CLASSIFICATION
74247bec-7854-478e-8d55-b73136053d95,brightpixel
87cbd09f-a051-4d96-bb5b-440018476c81,brightpixel
835826b3-3f08-49a0-9ed5-6c48062ca1d9,brightpixel
9d7eeff9-b789-47c3-a056-7430e6626ea0,brightpixel
6a6158d4-3d4c-4bd9-958a-5698cc75b9a4,brightpixel
1f436be9-6082-406d-bdca-f32ceca2b262,brightpixel
bfb519fc-27e6-453d-a4c5-1ce19e7c1a42,brightpixel
5e24b9b1-0bc9-4bfc-8df0-f0ba81d7dd42,brightpixel
8b7b305f-5af2-474c-9783-beccd20bf1dd,brightpixel
065c9964-82b3-4885-9c98-027a4939afa9,brightpixel
b6b555ae-30ac-4b5a-94e6-9a4d8b9061dc,brightpixel
01c76739-5c61-48f3-a7e8-e36d30d16049,brightpixel
4e4e8354-d941-4423-bb70-dc02cf5c3d05,brightpixel
8bfaac02-e72a-48f9-9696-2fa030759cb6,brightpixel
772d1b81-d237-45bc-a8f1-2521cff3c6bb,brightpixel
dc538257-af71-4840-b122-10c55b654eb4,brightpixel
65e0eeba-8002-4a4c-a6ef-416950d85fb0,brightpixel
4c95ecfe-106c-4e83-9039-28be980e1dda,brightpixel
a7471372-4c49-4b09-b647-d1cd5392f185,brightpixel
2dde5660-b37f-4364-bf53-cf07d1909916,brightpixel
321b75e0-d789-4254-b882-f76d221bf6fa,brightpixel
c388adb0-827e-4341-9aa8-9d13735fcf5d,brightpixel
907f67e6-8a81-4868-b4f6-3c70d7f59fea,brightpixel
9eba02d0-9638-489c-be38-2faddf05c63a,brightpixel
b7c0b45a-b686-4324-a119-47dd32e264c1,brightpixel
f3097cfe-7ccf-4993-8623-787d079eba60,brightpixel
1b80a05d-9405-488b-91de-7286e28b69d9,brightpixel
e173a9f6-9bcd-4ed3-a6b1-db5abe6ce56e,brightpixel
43c298c0-e8f5-44e9-b40c-6e3ee72c87e8,brightpixel
8a3f8c0e-c09c-4b39-adf9-369b88ebfad5,brightpixel
9f72af92-6a44-4ed3-83dc-7d3a5686b6e1,brightpixel
21e0400f-c375-44ef-9b12-9af95cffe646,brightpixel
23d94e33-d8b5-4cfc-96b0-7add58ea97c9,brightpixel
cde7e97b-e6e8-4322-b800-4f0a577fb0db,brightpixel
235b2592-39d1-43ac-8e71-d71d74599679,brightpixel
d0ede0d5-e933-4052-b31c-9146d697a355,brightpixel
070312fb-7d27-4ecb-b0a0-30e8030a076e,brightpixel
eb570385-0f55-4509-98d1-6121a769403e,brightpixel
44d77c49-854d-44dd-823a-59a6995762a5,brightpixel
b9ef0504-a841-4887-a282-8bad12ef26de,brightpixel
674e50bf-b27e-4609-9683-d8d3748fe035,brightpixel
04ce56fb-61dd-442d-b6bd-9521a555c87f,brightpixel
78078e47-4e0a-4f6b-a1a8-b2fad48e54a6,brightpixel
24abc24f-aeff-438b-993c-1c77345eb622,brightpixel
d29ea27e-6a69-49ba-a629-1e17da242050,brightpixel
ab15fdbe-103d-4fa1-8833-abda352ced7d,brightpixel
c819043e-d862-4683-88d8-fcddfce01859,brightpixel
c4846250-a5e4-480f-a939-796752c5cdb2,brightpixel
4eb17103-6949-4da2-8c47-f262eebd0ab3,brightpixel
4826c137-e7e0-4c35-8517-b1146909dae6,brightpixel
c0a7f1ac-8c27-4686-acab-26ba613b9e22,brightpixel
235e08d1-6725-471d-b639-01728c0c2bc5,brightpixel
53c81f28-acad-4d17-9647-f8f9336f2dd7,brightpixel
5328e1ee-4af3-4096-aa63-50a5fa88b093,brightpixel
4f60c629-e991-4d7b-bfa6-e21d7cd62baf,brightpixel
7e73713f-d3d1-4fc9-adce-1800f3255850,brightpixel
9a1e26c8-7855-4c2d-b421-e5a82a6a604b,brightpixel
3c806946-9cf1-4472-95a4-06b393dd8f99,brightpixel
96b1fbd6-7507-41d1-9ae0-aead40cdd1a9,brightpixel
63aa26a6-25ae-4345-9b2e-cbe122241543,brightpixel
981a9092-b989-49cf-a04a-a408da07999c,brightpixel
2818ed85-f0e4-4cdf-9037-384757f5dcc8,brightpixel
8c3b140f-25e8-4596-b116-ad28d548aa8d,brightpixel
0620db88-6514-4224-b013-fd3e438190a5,brightpixel
c32e1288-d31b-498a-9db5-814a968730db,brightpixel
a87f0d30-6ac4-4f75-9ff1-a6995eecafb6,brightpixel
624527db-d26d-4395-ba7d-c20ff7adb429,brightpixel
5dddbe58-cc89-49c4-a39f-dc77f6400ecf,brightpixel
b3d36dda-0f88-4b8c-85c7-03014ffc434c,brightpixel
6f794991-4866-4a52-b556-584a8805ff62,brightpixel
e9e6f313-7207-4000-a1fe-e90971ddd6b7,brightpixel
2e1d0830-09c2-463d-a8d9-a11689720557,brightpixel
2c3a5d6b-d026-412c-88d1-f2fcb6301d93,brightpixel
2280a659-e700-4fc5-9402-d2917de525fa,brightpixel
dd0e94e1-6c34-47a8-947e-03d1e34eb283,brightpixel
937251f0-9883-4260-b434-84bdbf92e36c,brightpixel
8c987006-2646-4d39-a30e-bae8dad1cd0c,brightpixel
372c4ce2-8864-4d23-947c-f4a7925596c2,brightpixel
2be3ca11-4028-4ea9-ba99-5948db7d63c4,brightpixel
a90835b4-3866-44e6-8b4b-88c013a51602,brightpixel
8764adaa-2152-43c2-9d29-d5a2a72238e4,brightpixel
